kecamatan,cluster_2022,cluster_2023,cluster_2024,status_antar_tahun
Andir,3,3,3,Tetap
Antapani,3,3,3,Tetap
Arcamanik,3,3,3,Tetap
Arjasari,2,2,2,Tetap
Astana Anyar,3,3,3,Tetap
Babakan Ciparay,3,3,3,Tetap
Baleendah,1,1,1,Tetap
Bandung Kidul,3,3,3,Tetap
Bandung Kulon,3,3,3,Tetap
Bandung Wetan,4,4,4,Tetap
Banjaran,2,2,2,Tetap
Batujajar,1,1,1,Tetap
Batununggal,3,3,3,Tetap
Bojongloa Kaler,7,7,7,Tetap
Bojongloa Kidul,3,3,3,Tetap
Bojongsoang,1,1,1,Tetap
Buahbatu,3,3,3,Tetap
Cangkuang,2,2,2,Tetap
Cibeunying Kaler,6,6,6,Tetap
Cibeunying Kidul,1,1,1,Tetap
Cibiru,6,6,6,Tetap
Cicalengka,2,2,2,Tetap
Cicendo,1,1,1,Tetap
Cidadap,2,2,2,Tetap
Cihampelas,1,1,1,Tetap
Cikalongwetan,7,7,7,Tetap
Cikancung,2,2,2,Tetap
Cilengkrang,2,2,2,Tetap
Cileunyi,1,1,1,Tetap
Cililin,0,0,0,Tetap
Cimahi Selatan,1,1,1,Tetap
Cimahi Tengah,3,3,3,Tetap
Cimahi Utara,6,6,6,Tetap
Cimaung,2,2,2,Tetap
Cimenyan,2,2,2,Tetap
Cinambo,3,3,3,Tetap
Ciparay,2,2,2,Tetap
Cipatat,7,7,7,Tetap
Cipeundeuy,7,7,7,Tetap
Cipongkor,7,7,7,Tetap
Cisarua,0,0,0,Tetap
Ciwidey,2,2,2,Tetap
Coblong,6,6,6,Tetap
Dayeuhkolot,3,3,3,Tetap
Gedebage,1,1,1,Tetap
Gununghalu,7,7,7,Tetap
Ibun,2,2,2,Tetap
Katapang,4,4,4,Tetap
Kertasari,0,0,0,Tetap
Kiaracondong,3,3,3,Tetap
Kutawaringin,2,2,2,Tetap
Lembang,0,0,0,Tetap
Lengkong,3,3,3,Tetap
Majalaya,4,4,4,Tetap
Mandalajati,4,4,4,Tetap
Margaasih,1,1,1,Tetap
Margahayu,1,1,1,Tetap
Nagreg,2,2,2,Tetap
Ngamprah,2,2,2,Tetap
Pacet,0,0,0,Tetap
Padalarang,0,0,0,Tetap
Pameungpeuk,4,4,4,Tetap
Pangalengan,5,5,5,Tetap
Panyileukan,3,3,3,Tetap
Parongpong,0,0,0,Tetap
Paseh,2,2,2,Tetap
Pasirjambu,5,5,5,Tetap
Rancabali,5,5,5,Tetap
Rancaekek,1,1,1,Tetap
Rancasari,3,3,3,Tetap
Regol,3,3,3,Tetap
Rongga,7,7,7,Tetap
Saguling,0,0,0,Tetap
Sindangkerta,0,0,0,Tetap
Solokanjeruk,4,4,4,Tetap
Soreang,2,2,2,Tetap
Sukajadi,6,6,6,Tetap
Sukasari,6,6,6,Tetap
Sumur Bandung,1,1,1,Tetap
Ujungberung,6,6,6,Tetap
